Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Started random run 1 | seed=1234 | device=cuda:0 | trainable_params=22538 | total_params=23184
Started random run 3 | seed=1236 | device=cuda:2 | trainable_params=22538 | total_params=23184
Started random run 4 | seed=1237 | device=cuda:4 | trainable_params=22538 | total_params=23184
Started random run 5 | seed=1238 | device=cuda:5 | trainable_params=22538 | total_params=23184
Started bio_trainable run 1 | seed=1234 | device=cuda:6 | trainable_params=23562 | total_params=24212
Started bio_trainable run 2 | seed=1235 | device=cuda:7 | trainable_params=23562 | total_params=24212
Epoch 001/300 | train_loss=271.7633 | train_acc=0.0994 | test_loss=46.0411 | test_acc=0.1028
Epoch 001/300 | train_loss=204.5240 | train_acc=0.3893 | test_loss=23.3349 | test_acc=0.3049
Epoch 001/300 | train_loss=190.9859 | train_acc=0.4278 | test_loss=21.3601 | test_acc=0.3437
Epoch 001/300 | train_loss=197.6979 | train_acc=0.4033 | test_loss=22.5280 | test_acc=0.2611
Epoch 001/300 | train_loss=204.2311 | train_acc=0.3735 | test_loss=23.2466 | test_acc=0.3317
Epoch 001/300 | train_loss=202.7905 | train_acc=0.3835 | test_loss=24.5226 | test_acc=0.2522
Epoch 001/300 | train_loss=271.7663 | train_acc=0.1006 | test_loss=46.0351 | test_acc=0.1010
Epoch 002/300 | train_loss=271.5976 | train_acc=0.1074 | test_loss=46.0256 | test_acc=0.1135
Epoch 002/300 | train_loss=108.6216 | train_acc=0.6514 | test_loss=15.6705 | test_acc=0.4490
Epoch 002/300 | train_loss=110.1274 | train_acc=0.6633 | test_loss=15.5138 | test_acc=0.3462
Epoch 002/300 | train_loss=128.1562 | train_acc=0.5979 | test_loss=19.4136 | test_acc=0.2575
Epoch 002/300 | train_loss=103.0981 | train_acc=0.6926 | test_loss=13.7791 | test_acc=0.4189
Epoch 002/300 | train_loss=109.0962 | train_acc=0.6726 | test_loss=14.3949 | test_acc=0.4655
Epoch 002/300 | train_loss=271.5962 | train_acc=0.1104 | test_loss=46.0222 | test_acc=0.1135
